Sender,Message Content,Category
AlRajhiBank,"رمز مؤقت:7238
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 3,000.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 3000
الى:رقيه الهزاع
في:24-12-20 14:49",Financial
966540,الله يجزاك خير الدارين ياخالة واسأل الله ان يحفظكم ويحفظ لكم كل غالي على قلوبكم من كل مكروه ويبارك فيكم ويعوضكم خيرا ويرفع درجتكم ويحميكم ويجزل لكم الاجر والثواب ويمد باعماركم على الخير والطاعه ,Personal
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 100 
لدى:STC Pay
في:24-12-20 16:30",Financial
STCPAY,"تغذية محفظة stc pay
بـ : 100.00 ر.س 
البطاقة: XXXX*، Apple Pay
في: 20/12/24 - 16:30",Financial
STCPAY,"حوالة داخلية
بـ: 55.00ر.س
إلى: AGUSSUDIANA SUKARNA
في:20/12/24 16:31",Financial
HOMECENTRE,تم توصيل طلبك 68187532674. نود معرفة رأيك عن تجربة التسوق معنا. أدخل تعليقك هنا: https://homecentre.app.link/8RtDccRYtPb,Stores
AbrarBer,"❄️أدفأ الأيتام والأرامل من برد الشتاء القارص❄️
صدقتك دفء bit.ly/SHITA1",Promotional
9604440,ياحبيبي ماهو مدّ ولا قدر ، ربي يحفظكم ويرعاكم ويقر اعينكم بتمام عافية محمد 🩵💐 ويبارك لك في نفسك وعملك و ذريتك ♥️,Personal
964440,اللهم آمين، وإياكم ,Personal
Hemmah,"عملينا العزيز نود إشعاركم بإكتمال عقدك رقم HCR4227900
حمل تطبيق همة تك للصيانة المنزلية وإستفد من خصم 20% بإستخدام كود HT 
https://tinyurl.com/HemahTech",Commercial
LOGISTIQ,Your order number 68191302496 from HOMEBOX has been delivered to your doorstep as per instructions. Access delivery proof here : https://storage.googleapis.com/last-mile-prod/podImageALSASAF002868889146284.png,Stores
HOMEBOX,تم توصيل طلبك 68191302496. نود معرفة رأيك عن تجربة التسوق معنا. أدخل تعليقك هنا: https://homebox.app.link/nChD0O89tPb,Stores
STCPAY,"حوالة داخلية
بـ:1000.00 ر.س
من:LUJAIN ALHOMAID
في:21/12/24 10:36",Financial
AlRajhiBank,"رمز مؤقت:5623
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 1,000.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 1000
الى:لجين الحميد
في:24-12-21 10:58",Financial
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 85 
لدى:NAS app
في:24-12-21 16:33",Financial
NAS,"تم انشاء العقد بنجاح , رقم العقد   H0029504 ولتحميل العقد يرجي الضغط علي الربط (#)",Commercial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 40 
لدى:Khaled Ma
في:24-12-21 17:12",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 80 
لدى:London Af
في:24-12-21 17:21",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 600 
لدى:Msna Jady
في:24-12-21 18:26",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 120 
لدى:Drt Almas
في:24-12-21 18:32",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 25 
لدى:Abdullah M
في:24-12-21 18:39",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 102.55 
لدى:Adel Moha
في:24-12-22 21:46",Financial
NAS,لديكم موعد زياره (صباحاً ) بتاريخ 22/12/2024 نامل تواجدكم في المنزل  (#LEAKRLVZ),Services
NAS, الزيارة فى طريقها اليك  (#RTHQNJSO),Services
NAS,السائق فى طريقه لاستلام العاملة  (#NT9UFV33),Services
Tadawulaty,"عزيزي المستثمر،
تذكير بالتصويت عن بعد للمصدر العربية وسيتم انعقاد الجمعية العامة غير العادية بتاريخ 23/12/2024.
الموقع : (عن بُعد) رابط بث الجمعية: https://app.jameeah.com/meetings/",Financial
HOMEBOX,سيتم إرجاع مبلغ بقيمة 196.99ريال للطلب 68191302496 خلال 5-7 أيام عمل. يرجى العلم أن عملية الإرجاع لبطاقات مدى يمكن أن تستغرق حتى 28 يوم عمل.,Stores
AlRajhiBank,"رمز مؤقت:
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 300.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 300
الى:عبدالعزيز
في:24-12-23 11:47",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 156.50 
لدى:CARREFOUR
في:24-12-23 13:46",Financial
AlRajhiBank,"رمز مؤقت:
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 1,000.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 1000
الى:منيره الهزاع
في:24-12-23 21:38",Financial
900,"صباح الخير زينب

نشكرك على استخدامك خدمة الدفع المباشر من stc لدى متجر تطبيقات ابل.

بناءً على طلبك تمت عملية الشراء في خدمة Apple MV2MZBWNMV بقيمة 59.99 ريال بنجاح.

للاطلاع على المشتريات أو الغائها, تفضل بزيارة الرابط التالي:
https://support.apple.com/ar-sa/HT204088
 


*الأسعار شاملة ضريبة القيمة المضافة 15% لعملاء المفوتر. أما لعملاء مسبق الدفع، لا تنطبق الضريبة لتحصيلها مسبقًا عند عملية شحن الرصيد.

يومك سعيد",Telecommunications
InvestAseel,"الآن تطبيق أصيل بطابع جديد🚀
حمل التطبيق، واستمتع بتجربتك.

https://investaseel.go.link/9jKJs",Promotional
HOMEBOX,ما مدى سهولة عملية الإرجاع لدينا؟ يرجى تقييمها الآن حتى يمكننا تحسين تجربتك. https://homebox.app.link/lF6D9njLBPb,Stores
Tadawulaty,"عزيزي المستثمر،
تذكير بالتصويت عن بعد للمصدر أماك وسيتم انعقاد الجمعية العامة العادية بتاريخ 26/12/2024.
الموقع : (عن بُعد) رابط بث الجمعية: https://www.any-meeting.com",Promotional
alnor.ch,ودك حسنات تجيك من الصين؟تبرع ب11رس بمصحف باسمك للمعتمرين unif.me/ALNOR,Promotional
InvestAseel,"مستثمرنا العزيز

أطلع الآن على صندوق مسار الرياض العقاري بصافي عائد متوقع 32,64% خلال 24 شهراً،
يقع المشروع في واحدة من أهم المحاور الرئيسية بالمملكة على المسار الرياضي

للمزيد:https://investaseel.go.link/feX9Q",Promotional
Malaa,"For: Reset pin code
Please don't share it with anyone",Apps
BankAlBilad,عميلنا العزيز، نفيدكم بأن الحساب الخاص بكم (xx0006) سيتم تجميده بعد 30يوم في حال عدم إجراء أي عملية.,Financial
BankAlbilad,"عميلنا العزيز،
نفيدكم بأن الحساب الخاص بكم (xx0006) سيتم تحويله الي متروك بعد 30 يوم. نأمل زيارة الفرع لتصفية الحساب",Financial
MAKARIM,"اغتنم أجر عمرة وصلاة في الحرم🕋
اكفل معتمر من ذوي الإعاقة bit.ly/OMRAA",Promotional
AlRajhiBank,"رمز مؤقت:
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 600.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 600
الى:رقيه الهزاع
في:24-12-27 16:36",Financial
STCPAY,"حوالة داخلية
بـ: 10.00ر.س
إلى: AGUSSUDIANA SUKARNA
في:27/12/24 20:20",Financial
900,"صباح الخير زينب 

نأمل أن تكون خدماتنا قد حازت على رضاك .. 
ونود فقط اشعارك بصدور فاتورة جديدة للرقم 0506491342
بمبلغ إجمالي 336.7 ريال.  
(رقم الحساب: 462186460)  
 

ملاحظة: الفاتورة شاملة لضريبة القيمة المضافة

يمكنك السداد مباشرة عبر الرابط ادناه : https://lp.stc.com.sa/#/sms-bill-payment?data=stchcpLpCTVJ7

يمكنك الاطلاع على تفاصيل الفاتورة عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/latest_bill?data=cD0wNTA2NDkxMzQy
أو بالرد على هذه الرسالة بـ: 1112
كما يمكنك دفع جميع فواتيرك عبر تطبيق stc Pay.
لتحميل التطبيق اضغط على الرابط:
https://www.stcpay.com.sa/sms/download


للاطلاع على شركائنا الجدد، وتحديثات برنامج قطاف، الرجاء زيارة موقع stc: 
https://stc.sa/qitafcategoriesar

سدّد فاتورتك خلال 28 يوم من تاريخ إصدار الفاتورة للحصول على نقاط قطاف.

يومك سعيد",Telecommunications
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 349.87 
لدى:almontaja
في:24-12-28 11:52",Financial
STCPAY,"حوالة داخلية
بـ: 200.00ر.س
إلى: NAJLA ALHOMAID
في:30/12/24 13:50",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 87 
لدى:Badr Abdu
في:24-12-31 10:24",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 12 
لدى:Badr Abdu
في:24-12-31 10:24",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 15 
لدى:Muslim
في:24-12-31 10:53",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 10 
لدى:LAMAT ALN
في:24-12-31 10:55",Financial
AlRajhiBank,"شراء
بطاقة:2941;مدى-أثير
مبلغ:SAR 28 
لدى:MAHL HAMA
في:24-12-31 11:01",Financial
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 87 
لدى:NAS app
في:24-12-31 12:10",Financial
NAS,"تم انشاء العقد بنجاح , رقم العقد   H0030324 ولتحميل العقد يرجي الضغط علي الربط https://tinyurl.com/2yno59we (#DPIP3CKH)",Commercial
NAS,لديكم موعد زياره (صباحاً ) بتاريخ 01/01/2025 نامل تواجدكم في المنزل  (#XHYWZ5DF),Services
AlRajhiBank,"راتب
مبلغ:SAR 33
الى:7314
في:25-1-1 01:22",Financial
NAS,الزيارة فى طريقها اليك  (#Y56VR7OI),Services
NAS,السائق فى طريقه لاستلام العاملة  (#HSU7OFG0),Services
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 95.68 
لدى:Mueen HR S
في:25-1-1 13:16",Financial
Mueen,"عميلنا العزيز / زينب سليمان هزاع
لقد تم استلام المبلغ 95.68
 و الموافقة على العقد الخاص بكم 
رقم العقد : mhs120037
يمكنك متابعه العاملات و الزيارات من خلال الرابط التالي
https://api.mueen.com.sa//ar/u/88f118174d2521",Commercial
MAHARAH,"مرحبا زينب سليمان الهزاع،
نفيدكم بأنه تم تفعيل العقد K6824775
كما نود التنويه على تواجد ربة المنزل خلال تنفيذ الخدمة
شكرًا لإختياركم مهارة",Commercial
STCPAY,"شراء Apple Pay
عبر:*5431
بـ:77 SAR
من:Maharah Human
في: 01/01/25 18:26",Financial
AlRajhiBank,"سداد فاتورة
من:7314
مبلغ:SAR 336.70
مفوتر:001
الخدمة:الاتصالات السعودية
الفاتورة:00462186460
في:25-1-1 18:29",Financial
900,"مساء الخير زينب

نشكرك على سدادك مبلغ 336.7 ريال   
على الحساب رقم: 462186460
لرقم الجوال:
0506491342
بتاريخ: 2025-01-01 18:30:01

  
متمنين أن تحوز خدماتنا دومًا على رضاك.

خاصية تقسيط الأجهزة متاحة مع باقات بيتي و مفوتر.
 تقدر تعرف التفاصيل بإرسال 777 إلى 900",Commercial
900,"مساء الخير زينب,

أضفنا 7 نقطة قطاف لحسابك مقابل سداد فاتورة أحد أرقامك.
رصيدك الآن في قطاف هو 82 نقطة.

تقدر تستفيد من نقاط قطاف وتستبدلها بمكافآت stc عبر mystc:
https://my.stc/qitaf_reward

أيضاً، سيتم إضافة 108 نقطة عضوية تميّز إلى حسابك، للمزيد الرجاء زيارة mystc:
https://my.stc/tamayouz_card

للمزيد من المعلومات عن قطاف أرسل ""قطاف""
أو نقاط عضوية التميّز أرسل ""عضوية تميز""

يومك سعيد",Commercial
AlRajhiBank,"رمز مؤقت:5959
لـ :تحويل داخلي - التطبيق
المبلغ:SAR 1,100.00",Financial
AlRajhiBank,"حوالة داخلية
من:7314
مبلغ:SAR 1100
الى:رقيه الهزاع
في:25-1-1 18:30",Financial
900,"مرحبا زينب

تم تسجيل الدخول برقمك في تطبيق mystc آيفون بتاريخ 01/01/2025 18:57:08 بنجاح ..



إذا لم تقم بتسجيل الدخول، الرجاء تسجيل خروجك من هذا الجهاز عبر الرابط التالي:

https://www.stc.com.sa/content/stc/sa/ar/content-page/logout-page.html?data=tUdqlJYKZTEK2vx%2F7bFu6Nu5C9fSzuZo7iHIp08FSyk%3D",Telecommunications
urpay,"هلا بك في urpay
وثق حسابك عن طريق نفاذ بخطوات بسيطة واستمتع بعروضنا وخدماتنا!",Apps
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر ديسمبر 2024م، اختصاصاتها ومهامها من خلال عمل (1462) جولة رقابية، والتحقيق مع (390) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، الدفاع، العدل، الصحة، التعليم، البلديات والإسكان) وإيقاف (145) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
AlRajhiBank,"خصم: قسط تمويل
القسط: 4042.82 SAR
من: 7314
المبلغ المتبقي: SAR 76813.58
في:25-1-1 20:31",Financial
STCPAY,"حوالة داخلية
بـ: 60.00ر.س
إلى: AGUSSUDIANA SUKARNA
في:02/01/25 11:43",Financial
900,"مساء الخير زينب,

أضفنا لك نقاط قطاف مقابل سدادك الفاتورة، على الأرقام التالية:

506491342: 0 نقطة
    

تقدر تستفيد من نقاط قطاف وتستبدلها بمكافآت stc عبر mystc:
https://my.stc/qitaf_reward

أيضاً، سيتم اضافة نقاط عضوية تميّز، للمزيد الرجاء زيارة mystc:
https://my.stc/tamayouz_card

للاطلاع على شركائنا الجدد، وتحديثات برنامج قطاف، الرجاء زيارة موقع stc:
https://stc.sa/qitafcategoriesar

للمزيد من المعلومات عن قطاف أرسل ""قطاف""
أو نقاط عضوية التميّز أرسل ""عضوية تميز""

يومك سعيد",Telecommunications
STCPAY,"حوالة داخلية
بـ: 200.00ر.س
إلى: LUJAIN ALHOMAID
في:02/01/25 13:12",Financial
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (1462) oversight visits during the month of December 2024, exercising its mandates and duties, along with investigating (390) accused individuals, and arresting (145) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Defense, Justice, Health, Education, Municipalities and Housing) for their involvement in various crimes (i.e., bribery, abuse of authority). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 91.49 
لدى:Hemah
في:25-1-2 16:12",Financial
Hemmah,"عميلنا العزيز تم تنشيط عقدك رقمHCR4292762 لخدمات الساعة 
حمل تطبيق همة تك للصيانة المنزلية وإستفد من الخصومات بإستخدام كود HT 
https://tinyurl.com/HemahTech",Commercial
Hemmah,"عميلنا العزيز تم إستلام مبلغ قدره
2.51
عن طريق 
 Wallet",Commercial
Hemmah,"عميلنا العزيز تم إستلام مبلغ قدره
91.49
عن طريق 
 Apple pay",Commercial
Mueen,"عميلنا العزيز  زينب سليمان هزاع
نذكركم بموعد وصول العاملة من الزيارة غدا بين الساعة
01/03/25  3:30:00 pm - 01/03/25  6:00:00 pm
MHS120037 عقد رقم 
سعداء بخدمتكم",Commercial
MAHARAH,"مرحبا زينب سليمان الهزاع،
لديكم زيارة غدًا صباحي، وقت الوصول المتوقع بين (07:30 ص إلى 09:30 ص)
مدة إنتظار السائق 5 دقائق، تسعدنا خدمتكم",Financial
AlRajhiBank,"شراء انترنت
بطاقة:2941;مدى-ابل باي
مبلغ:SAR 129.41 
لدى:MAF Carre
في:25-1-3 13:21",Financial
STCPAY,"حوالة داخلية
بـ: 40.00ر.س
إلى: AGUSSUDIANA SUKARNA
في:03/01/25 14:12",Financial
AlRajhiBank,"استرداد شراء
بطاقة:2941;مدى
مبلغ:SAR 1.12
لدى:MAF Carrefour
في:25-1-3 14:18",Financial
AlRajhiBank,"شراء انترنت
بطاقة:7652 ;فيزا-أبل باي
مبلغ:SAR 4
لدى:RPT-Riyad
رصيد:SAR 2
في:25-1-2 21:34",Financial
AlRajhiBank,"بطاقة ائتمانية:سداد 
بطاقة:فيزا 5200
مبلغ:SAR 10.00 
رصيد:10.00 SAR 
في:02-01-2025 21:32",Financial
AlRajhiBank,"حوالة داخلية
مبلغ:SAR 10
الى:7781
من:شيخه الدوسري
في:25-1-2 19:28",Financial
AlRajhiBank,"شراء
بطاقة:7652 ;فيزا-أبل باي
لدى:DUNKIN 10
مبلغ:SAR 9
رصيد:SAR 6
في:25-1-2 16:09",Financial
AlRajhiBank,"بطاقة ائتمانية:سداد
بطاقة:7652 ;فيزا
مبلغ:SAR 4
رصيد:SAR 15
في:25-1-2 15:51",Financial
AlRajhiBank,"بطاقة ائتمانية:سداد
بطاقة:7652 ;فيزا
مبلغ:SAR 10
رصيد:SAR 11
في:25-1-2 10:46",Financial
AlRajhiBank,"شراء إنترنت
بطاقة:5200;فيزا
مبلغ:3.70 SAR
لدى:CANVA* PA
رصيد:5.87 SAR
في:31-12-2024 12:50",Financial
AlRajhiBank,"اشعار:عملية مرفوضة-البطاقة منتهية
العملية:شراء
بطاقة:7652 ;فيزا
مبلغ:SAR 3.70
في:24-12-31 12:49",Financial
AlRajhiBank,"حوالة داخلية
مبلغ:SAR 80
الى:7781
من:لجين الحميد
في:24-12-25 23:36",Financial
AlRajhiBank,"بطاقة ائتمانية:سداد
بطاقة:5200 ;فيزا
مبلغ:SAR 50
رصيد:SAR 71.91
في:24-11-12 08:02",Financial
AlRajhiBank,"شراء انترنت
بطاقة:5200 ;فيزا-أبل باي
مبلغ:SAR 43
لدى:hungersta
رصيد:SAR 21.45
في:24-11-10 16:17",Financial
AlRajhiBank,"شراء
بطاقة:5200 ;فيزا-أبل باي
لدى:Al-Sadhan
مبلغ:SAR 64.80
رصيد:SAR 119.21
في:24-11-9 16:08",Financial
AlRajhiBank,"شراء
بطاقة:5200 ;فيزا-أبل باي
لدى:SAHEL STA
مبلغ:SAR 100
رصيد:SAR 83.62
في:24-11-9 15:54",Financial
AlRajhiBank,"شراء
بطاقة:5200 ;فيزا-أبل باي
لدى:Amorino
مبلغ:SAR 84
رصيد:SAR 83.37
في:24-11-9 15:33",Financial
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (1462) oversight visits during the month of December 2024, exercising its mandates and duties, along with investigating (390) accused individuals, and arresting (145) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Defense, Justice, Health, Education, Municipalities and Housing) for their involvement in various crimes (i.e., bribery, abuse of authority). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر ديسمبر 2024م، اختصاصاتها ومهامها من خلال عمل (1462) جولة رقابية، والتحقيق مع (390) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، الدفاع، العدل، الصحة، التعليم، البلديات والإسكان) وإيقاف (145) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (1635) oversight visits during the month of November 2024, exercising its mandates and duties, along with investigating (370) accused individuals, and arresting (164) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Health, Education, Municipalities and Housing) for their involvement in various crimes (i.e., bribery, abuse of authority). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر نوفمبر 2024م، اختصاصاتها ومهامها من خلال عمل (1635) جولة رقابية، والتحقيق مع (370) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، الصحة، التعليم، البلديات والإسكان) وإيقاف (164) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (1903) oversight visits during the month of October 2024, exercising its mandates and duties, along with investigating (322) accused individuals, and arresting (121) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, National Guard, Justice, Municipalities and Housing) Zakat, Tax and Customs Authority for their involvement in various crimes (i.e., bribery, abuse of authority). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
 https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر أكتوبر 2024م، اختصاصاتها ومهامها من خلال عمل (1903) جولة رقابية، والتحقيق مع (322) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، الحرس الوطني، العدل، البلديات والإسكان) وهيئة الزكاة والضريبة والجمارك وإيقاف (121) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
 الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (3903) oversight visits during the month of September 2024, exercising its mandates and duties, along with investigating (289) accused individuals, and arresting (136) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Justice, Health, Environment Water & Agriculture, Education) for their involvement in various crimes (i.e., bribery, abuse of authority). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (2950) oversight visits during the month of August 2024, exercising its mandates and duties, along with investigating (380) accused individuals, and arresting (139) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Defense, Justice, Health, Education, Municipalities and Housing) Zakat, Tax and Customs Authority for their involvement in various crimes (i.e., bribery, abuse of authority, and money laundering). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر سبتمبر 2024م، اختصاصاتها ومهامها من خلال عمل (3903) جولة رقابية، والتحقيق مع (289) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، العدل، الصحة، البيئة والمياه والزراعة، التعليم) وإيقاف (136) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"بتعاونكم باشرت هيئة الرقابة ومكافحة الفساد خلال شهر أغسطس 2024م، اختصاصاتها ومهامها من خلال عمل (2950) جولة رقابية، والتحقيق مع (380) مشتبه به من ضمنهم موظفين من وزارات (الداخلية، الدفاع، العدل، الصحة، التعليم، البلديات والإسكان) وهيئة الزكاة والضريبة والجمارك، وإيقاف (139) مواطناً ومقيماً، وفقاً لنظام الإجراءات الجزائية منهم من أطلق سراحه بالكفالة الضامنة، لتورطهم بتهم (الرشوة، استغلال النفوذ الوظيفي، غسل الأموال).
وجارٍ استكمال الإجراءات النظامية تمهيداً لإحالتهم للقضاء.
ولحماية المال العام ساهم بالإبلاغ عن أي شبهات فساد مالي أو إداري من خلال وسائل تلقي البلاغات الآتية:
الهاتف المجاني: (980).
الموقع الإلكتروني:
https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
NAZAHA,"With your cooperation, the Oversight and Anti-Corruption Authority (Nazaha) has initiated (3010) oversight visits during the month of July 2024, exercising its mandates and duties, along with investigating (266) accused individuals, and arresting (149) citizens and residents (with several individuals being released on bail), in line with the Criminal Procedure Law. Among them, employees working in Saudi ministries (Interior, Defense, National Guard, Justice, Health, Education, Municipalities and Housing) for their involvement in various crimes (i.e., bribery, abuse of authority and money laundering). Criminal proceedings are currently being taken against the detainees for prosecution in a court of law.
To protect and preserve public funds, you can report suspicions of financial or administrative corruption to Nazaha, through the following reporting channels:
Toll free number: (980).
Website:
 https://www.nazaha.gov.sa/Services/ApplyReports",Governmental
STCPAY,"***7743 Purchase
Via: *7743
Amount: 240 SAR
From: PET CAT EST.
At: 01/01/25 21:34",Financial
STCPAY,"حوالة داخلية
بـ: 161.00ر.س
إلى: LUJAIN ALHOMAID
في:02/01/25 12:11",Financial
STCPAY,"Internal transfer
Amount:360.00SAR
From:LUJAIN ALHOMAID
At:01/01/25 20:58",Financial
STCPAY,"***7743 Purchase
Via: *7743
Amount: 5 SAR
From: DUNKIN 10485
At: 01/01/25 18:27",Financial
STCPAY,"***7743 Purchase
Via: *7743
Amount: 9 SAR
From: DUNKIN 10485
At: 01/01/25 15:53",Financial
